FIPS,County,Population,Area (km^2),Latitude,Longitude
05005,Baxter,41513,1519.585,36.28071,-92.330438
05007,Benton,221339,2289.307,36.337825,-94.256187
05009,Boone,36903,1558.737,36.304308,-93.079204
05011,Bradley,11508,1691.047,33.463819,-92.168164
05013,Calhoun,5368,1637.943,33.56046,-92.513879
05015,Carroll,27446,1654.484,36.337774,-93.541663
05017,Chicot,11800,1789.132,33.267139,-91.297158
05019,Clark,22995,2286.518,34.053312,-93.176205
05021,Clay,16083,1661.312,36.367302,-90.418704
05023,Cleburne,25970,1533.071,35.566288,-92.059974
05025,Cleveland,8689,1550.752,33.893201,-92.188714
05027,Columbia,24552,1985.88,33.21507,-93.226901
05029,Conway,21273,1467.662,35.265702,-92.689248
05031,Craighead,96443,1845.818,35.828268,-90.630411
05033,Crawford,61948,1564.981,35.583041,-94.236224
05035,Crittenden,50902,1648.211,35.211878,-90.315331
05037,Cross,17870,1611.767,35.291259,-90.773894
05039,Dallas,8116,1730.387,33.967823,-92.653999
05041,Desha,13008,2122.563,33.828748,-91.244427
05043,Drew,18509,2164.352,33.587242,-91.722778
05045,Faulkner,113237,1719.94,35.146356,-92.324654
05047,Franklin,18125,1604.866,35.508573,-93.887672
05049,Fulton,12245,1606.642,36.383443,-91.819239
05051,Garland,96024,1902.659,34.578861,-93.146915
05053,Grant,17853,1639.281,34.288063,-92.423984
05055,Greene,42090,1501.06,36.119922,-90.565241
05057,Hempstead,22609,1919.64,33.728611,-93.665809
05059,Hot Spring,32923,1611.42,34.315177,-92.944147
05061,Howard,13789,1541.856,34.083179,-93.990988
05063,Independence,36647,1998.223,35.737499,-91.559942
05065,Izard,13696,1512.599,36.094879,-91.913625
05067,Jackson,17997,1661.481,35.596605,-91.223178
05069,Jefferson,77435,2366.668,34.277696,-91.930701
05071,Johnson,25540,1768.299,35.573359,-93.466322
05073,Lafayette,7645,1411.748,33.24066,-93.611643
05075,Lawrence,17415,1534.158,36.041098,-91.101153
