,State,GROC16,GROCPTH16,SUPERC16,SUPERCPTH16,CONVS16,CONVSPTH16,SPECS16,SPECSPTH16,WICS16,WICSPTH16,FFR16,FFRPTH16,FSR16,FSRPTH16,SNAP_PART_RATE16,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,RECFACPTH16,PCT_OBESE_ADULTS17
26,MT,12.215117647567451,0.2425177995383215,1.8287478755609528,0.0182988537697891,26.018037916613427,0.4100934726849518,6.714199659321159,0.0789943395901064,9.153743040353106,0.1856626167328323,54.79624696045493,0.6789486286031398,72.0726771919071,1.0524215617358286,87.122,1.0,0.0,1.0,1.0,12.625811480144607,80452.53985988085,22.87113697844086,2.304088070698559,13.972057802035426,0.15024192442755,25.3
17,KY,37.986742234346174,0.1794348231864203,4.474343933131887,0.0232196063923853,73.10520660380526,0.4645552926176109,11.363959588385368,0.0371944558616874,26.144296294760817,0.1649306519259821,165.72058697286687,0.7166803992605552,154.29619111587076,0.6154779126122718,76.15099999999998,1.0,1.0,1.0,1.0,17.223974738106726,117410.0263928006,30.88798834350241,3.028461555607434,22.462765215584863,0.0777948175058058,34.3
33,NC,68.85385469010097,0.1893482705841822,6.816659559684815,0.0191974180114793,138.7966498695095,0.4789855931150195,20.49336579407501,0.0550527633398307,68.8463265403977,0.2044959776183224,294.190107514474,0.7570450868192405,284.5898280333562,0.7411977896570626,86.26699999999998,1.0,1.0,1.0,1.0,17.891254371476794,89319.14079073454,29.72013994323057,2.911982092793901,54.30963290264465,0.1104832515946646,32.1
35,OH,95.59622734949016,0.175790662252875,7.637386427833324,0.019787398493709,194.55505254274536,0.4017877126987906,33.40306908386702,0.0576502961587005,53.620173282293095,0.1177481424587306,418.9034883789888,0.7999671797365534,349.75694462648613,0.6496407012254668,84.903,1.0,0.0,1.0,1.0,13.92651958522142,124429.9262180326,25.42507229462864,2.4659479756396103,54.44898957052267,0.0967194184313499,33.8
11,HI,141.0143273778889,0.2064842340019774,7.951051918451374,0.0097998253665241,202.4021020863312,0.2946573758084069,81.52708939468737,0.0973113378987287,58.101998000337055,0.0959447061257096,691.3136155954919,0.9001517777704517,636.1965891863694,0.9008436605249543,83.514,0.0,0.0,1.0,1.0,15.32631128400438,171199.3177565739,24.55816465710077,2.6754598176059945,40.7051085179311,0.0609046412006722,23.8
10,GA,63.763258407786765,0.1701518598157854,6.62587271536473,0.0203648272948718,163.81095314855858,0.5876691216341975,21.90539801837267,0.0470189965364494,45.506276218309054,0.1438588497478599,326.26235101185733,0.780444635857713,312.3867803655455,0.6945459196700116,86.385,0.0,0.0,1.0,1.0,19.805365698827305,144536.9227534133,28.30764470656231,2.9921870591944764,44.05076303064903,0.0916229211165029,31.6
16,KS,35.88499218380476,0.1756665772475049,6.527099750177157,0.0261356562202951,59.681460932935295,0.3389772434370515,14.82835937529519,0.0632695633895446,20.14347362546305,0.1293235370910096,194.66289373375065,0.7071436455316202,179.49142863423882,0.7358706038493475,76.875,1.0,0.0,0.0,1.0,14.247006364866031,129855.40879310857,22.38711509941432,2.379881263069024,31.77440238137193,0.0939045737357981,32.4
20,MD,127.6633317745523,0.201364910247959,4.722977631492173,0.0101323858946786,194.28222579942485,0.3395722080572739,40.359441250275616,0.0697231387365368,86.4288726216099,0.1460524544603779,524.6702691828324,0.8465402159409998,328.08543885348325,0.5844672900554263,90.881,1.0,1.0,1.0,1.0,17.49293455432353,126404.63067609776,28.64797266229721,2.739616930771748,73.87598131594426,0.1143081546258522,31.300000000000004
31,NM,33.0524816405285,0.122274855995494,6.218385608869313,0.0220557311559612,96.44161499319809,0.3892729745615559,19.613485162622705,0.0585253175628441,26.503576030304256,0.1189323997344477,226.41043172531965,0.69966765068215,184.7393683739737,0.6445921171675629,100.0,1.0,0.0,1.0,1.0,14.976397774761953,140809.57783651893,29.022673414617728,3.151944804966145,28.027702267165967,0.0829837147951274,28.4
28,NV,156.71031368202722,0.1065230184137549,20.58321300430308,0.0149776583846272,525.0171568190941,0.342333067442562,85.80902412928133,0.0530797947212316,108.49187096298157,0.0751658815036151,1427.5802846934623,0.8296965674058141,1077.570335286454,0.6726926035111057,83.288,1.0,0.0,1.0,1.0,14.03747699043728,205533.48092771755,29.6351529594325,2.8416030770481684,133.91159926186018,0.092568981178405,26.700000000000003
