,State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017
136,AR,Garland,5051,0,1,-0.30381151515548993,0.6549946131942938,0.010822413439081895,-0.06227785713498237,0.19812948709436956,0.9508250835572692,-0.1474279635986994,0.9926645785890681,1.617804410902998,0.9421333568771734,-0.3742802139610472,1.0000748791373806,-0.3514154544306522,0.2103361588276611,-0.4561959486563753,0.8783598717992696,0.7848435472183145,-0.011342852850182331,0.37522433015060935,0.8627613859444062,1.390085897152764,-0.39040429950309635,0.47236407581249945,-0.8824121635711604,-0.16304374452966952,0.2636533751627344,0.24735339563914854,-0.10819812227914401,0.12096036505952719,0.5702851714317597,0.8222547151147946
2334,SC,Edgefield,45037,0,1,-1.1302620247879596,0.179350630847575,0.45338086541779316,0.15921650164244863,-0.01974011505462197,0.6419181542528234,-0.2277607689004558,-0.40565521173232827,-1.5686926298650081,0.6717915227884785,-0.605301199328823,-0.813096324736329,-0.4733904255690773,-0.23764170913348104,-0.7624583095179381,-1.2905690325539185,-0.30669479022108415,-4.626079245392598e-05,0.24576331380968056,-0.048320101573585884,0.1523720604041596,-0.9274762588447475,0.4102397518036771,-0.17744593840417971,-0.16304374452966952,-0.7435298765470353,-0.6023663841596971,-0.08038920597114525,-0.5173319259959526,-0.8518821458643324,-0.054159432730424804
1769,NH,Hillsborough,33011,0,1,-0.6762695800735312,-0.5630128029131273,-1.895267940503437,-0.9449552693662325,-1.9522484911278453,-2.1954842177901894,0.8415357537839697,-2.8689860446208537,-1.6069112109766006,-1.130487371136157,-0.3562631832400101,-0.267038369819866,-0.6188118746697231,0.0779109909194967,-0.5523604727833615,0.2750192956067754,0.11485913713022675,-1.2899821504735167,-0.42539529040434165,-2.322439129226403,-2.6576426440982375,1.2399105581695509,-1.2826480774367237,2.012183852960909,-0.16304374452966952,0.5433816202119193,-0.37667268555760336,-0.48113142196041764,0.30332959107537866,0.28585170797254145,1.7767733787166449
385,FL,Walton,12131,0,1,-0.7121558261626589,0.09971900487694384,0.7233056449455918,-0.13740186698723436,-0.23402370195174982,0.029453560914876373,1.2090427617269333,0.22571392952454689,-0.014589458489586487,-1.040373426439926,-0.49137750678205844,0.5477650216719605,-0.1497094263298493,2.1104207092652985,-0.2633476886584042,0.3834746767944411,1.6747016194570061,-0.08149946789657715,-0.0276852925722064,1.3657627920961073,0.6525127538429537,0.8864545914362776,-0.22653456928674864,-0.060450854521523566,-0.16304374452966952,-0.5323993524827031,-0.3738442880129412,0.1345776536387507,-0.42614731298802644,-0.8518821458643324,0.57645300923237
845,IA,Linn,19113,0,1,-0.5477408207909675,0.37185946674889914,-0.3978993293093273,-0.334718131014371,1.3241943553235038,-1.094530749718233,-0.6332108317793675,-0.4208410326064297,-0.1577100556072429,1.3626650987929212,-0.5229768865186457,0.3908903555136201,-0.6830598477858437,0.34160697964881465,-0.24757742158730003,0.5302908918257214,0.09360559269955547,-1.5836097943477885,-0.8873655390114429,-0.7042533670534434,-0.5871661138567323,0.6773498156898021,-0.8167156473705582,0.7708214819651412,-0.16304374452966952,0.08849088498809511,-0.4848242270181026,-0.5467093644445233,0.34892189757934133,0.5702851714317597,1.3723357379981573
1239,MI,Bay,26017,0,1,0.5202297224857162,0.04905251249418519,0.288272715124704,0.14762805780510452,-1.1376185918068442,-0.4507525904046713,0.26534888573343696,0.26294517784455285,-1.1465913680621707,0.13110785461108662,-0.37507636699842034,0.46543821566016536,-0.07049166247530984,0.15356670376773474,-0.39528872470594995,0.7431475866063271,-0.20373201875070338,0.0855592752318606,0.3052827860619063,1.0521824695601616,-0.16613294393605965,-0.296294738633199,-0.2731278122933653,-0.19153392774368294,-0.16304374452966952,-0.05693334351065715,-0.10881666048229964,-0.032918790463560416,0.34892189757934133,0.854718634890978,0.859146022138687
25,AL,Elmore,1051,0,1,-0.2702206294579456,0.7232152220881453,1.1381159659046591,-0.23653530833031386,0.4424666521119526,0.6551783986734172,0.652024655017854,0.9842886630374668,-0.45388937693500114,1.3326271172275101,-0.6717842829275503,0.2830982997002426,0.2665897722203113,-0.7386764743206182,-0.5714754294611538,-0.3412454682072062,-0.499737343574151,0.14000117270793183,0.8351724216142987,1.3544771797671276,0.8990967852414911,-0.2780776874267322,-0.3507832173043929,0.3988661772198662,-0.16304374452966952,-0.20945274764830352,-0.20480040469687932,0.05545014204449681,1.5799141731863382,1.897641334241445,0.6956208464216018
1048,KY,Jefferson,21111,0,1,-0.3947561288497848,0.4241352249425937,0.5709679032851273,0.032901766772496094,1.3385201318966957,1.7448105001499934,2.026267820413155,0.6862794816146721,0.08483969428008249,0.7318674859192984,-0.1935983765072475,0.17339156345065593,-0.8129995582253378,0.146454802247929,-0.4248598846249645,0.8945941467871478,0.07001558796795081,-0.11292231765863113,0.23318075408885322,0.8943653115205754,0.41630936251453876,0.6022950371474474,-0.1333480832735156,0.2111882502717715,-0.16304374452966952,-0.35645867482742,-0.513791929629211,-0.7462819493938707,0.8504372691229323,0.9495297893773837,2.2007986440028176
1368,MN,Olmsted,27109,0,1,-1.0760765589287682,0.08021570354376624,-1.5015477150443952,-0.875002631355819,0.7141379137535546,-0.4090692622419256,0.6839579637820087,-0.36730370110500327,0.5318445400705248,-1.040373426439926,-0.342638361828116,0.930990537351832,-1.1193083743985635,0.4784619856330269,-0.3598223164575336,0.347864789170078,-0.20560815454308648,-0.03328075319159083,0.15810805127481883,-0.3495597508373755,-0.4952227910268437,0.708453069741434,-1.142868348416874,1.7360106826330608,-0.16304374452966952,-0.18197941818717853,-0.6742804910487207,-0.6153753806900963,-1.5203626690831344,-1.325937918296363,1.1248254805252558
986,KS,Wabaunsee,20197,0,1,-0.6462754962712938,-1.8403055669457349,-1.535730991819408,-1.2238053807807172,0.6334765299750738,-0.6413265970593326,0.23012809332585124,-0.6967863189050428,0.4625460112413678,0.16114583617649764,0.8845668412772879,-0.813096324736329,-0.04987282266194244,-0.7386764743206182,-2.0056044830359323e-05,-0.4864186139046775,-0.08873544500300468,-4.626079245392598e-05,-0.00017685168429972155,-1.039184072029209,-0.6968410115798552,-0.9274762588447475,-1.236054834430107,0.7058062208178936,-0.16304374452966952,0.9565931068181694,0.7005251462923805,-0.45379271540425264,0.21214497806745333,0.4754740169453531,-0.9636905470335076
