,State,GROC16,GROCPTH16,SUPERC16,SUPERCPTH16,CONVS16,CONVSPTH16,SPECS16,SPECSPTH16,WICS16,WICSPTH16,FFR16,FFRPTH16,FSR16,FSRPTH16,SNAP_PART_RATE16,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,RECFACPTH16,PCT_OBESE_ADULTS17
31,NM,33.0524816405285,0.122274855995494,6.218385608869313,0.0220557311559612,96.44161499319809,0.3892729745615559,19.613485162622705,0.0585253175628441,26.503576030304256,0.1189323997344477,226.41043172531965,0.69966765068215,184.7393683739737,0.6445921171675629,100.0,1.0,0.0,1.0,1.0,14.976397774761953,140809.57783651893,29.022673414617728,3.151944804966145,28.027702267165967,0.0829837147951274,28.4
18,LA,46.17115630641174,0.201625257251597,4.919337396849012,0.0253982023471086,103.1852781456175,0.5596077754654027,15.497551950904352,0.0661374822293039,23.094802087492496,0.1210927381770088,168.79311190272358,0.7174970166179331,156.39661452070928,0.6169470578914288,83.536,1.0,1.0,0.0,1.0,22.73402910229133,204783.13835080777,30.090613955383382,3.430286365485328,22.24653334658625,0.09174070549338,36.2
48,WV,5.265962910501712,0.1965297553973343,0.7485538323306934,0.0204897593558864,17.783782531275932,0.5792103230018292,0.668115287777825,0.0149084292983428,4.879011513730005,0.1798088089094899,18.90139562676716,0.4700744453834959,19.837220130435878,0.5929384228641086,95.39599999999996,1.0,0.0,1.0,1.0,15.02541844605114,90733.94514438813,29.93369509753896,2.8555642944935715,1.8972863842700571,0.0405646760849261,38.10000000000001
0,AL,33.573329537313874,0.1557312850208082,6.316263647940437,0.0261316436117009,146.57005084541944,0.6659579765070668,12.55132345066391,0.0425967588759116,28.687318656990243,0.1463591625483232,203.35880729616864,0.7864413375206781,136.39183266543262,0.5804499645275745,86.89799999999998,1.0,0.0,1.0,1.0,18.41186054656281,131170.46302370183,32.91087573564322,3.3097590470814477,22.04804280594358,0.0775768893151838,36.3
4,CA,728.9305567553188,0.2003613536360905,24.626968460685188,0.0075075479751278,773.4054792140615,0.2277425240937376,284.38620250331,0.0737905556345752,440.7442480631907,0.1174274940821311,3098.03723074477,0.7632777732953474,3025.187425162514,0.7836903616981616,71.944,1.0,0.0,1.0,1.0,22.02581884492437,186226.4572351309,35.63348403979739,3.249196221421293,374.4566360276269,0.101893660485072,25.100000000000005
22,MI,132.67800538390196,0.1845219829005409,14.514359985892128,0.0247604002768467,275.200765382254,0.4211163444280496,69.7377055011661,0.0918127353728787,144.40135589759518,0.1858564705184165,493.6579162350066,0.6878872880680772,476.4641470112712,0.7158220436128875,99.604,1.0,1.0,1.0,1.0,15.945161049992551,81020.93997677205,31.581833387053223,2.68909985722791,57.205945001401744,0.0792563404039515,32.3
30,NJ,172.61829028197144,0.2845498877950442,4.644897592161646,0.0084695761905212,153.5340470398611,0.266185080012,75.08393370410285,0.1277744325431408,61.99641952304779,0.1096397813064344,442.3266374188744,0.7576025191978258,491.8035916550266,0.8560086505778653,81.214,1.0,1.0,1.0,1.0,14.504586769511102,126830.17264532766,22.3044773125907,2.066978956236793,89.42354478824535,0.1537703994682484,27.3
47,WA,38.44816734512299,0.2833384084339355,3.2759422460972534,0.0136651473343833,48.94264708221728,0.3996412512889818,14.440618570047029,0.0826620035946419,17.150935046469822,0.1697573395068576,121.45722269366448,0.5045078630122111,159.9910802787257,0.8943495047741123,100.0,1.0,1.0,1.0,1.0,12.04939569832658,66292.90692977044,28.70655025349832,2.728277111903886,22.538325468140343,0.106228445863109,27.700000000000006
46,VA,46.12613536561584,0.1912390963697866,3.643290578155715,0.0222810844856952,78.00639204376961,0.4879784216046464,14.256925237986108,0.0531974148491588,21.535190173333085,0.1196012287492618,212.42531746110825,0.778399217066079,200.13033449248212,0.8616424754063762,76.3344371945847,1.0112396629121254,1.0112396629121254,0.0,1.0112396629121254,11.775525694710948,94684.3135671437,19.13991380813982,1.920089627131818,38.142664504946666,0.1210500166654313,30.1
45,VT,23.100191776077377,0.3417173598796461,0.337561172720334,0.0032072227675083,50.774105098421536,0.7555685291929803,7.802563642077852,0.1042798853968305,12.119513696916831,0.1827965984344789,48.88523420412928,0.633670798290584,78.06616274669523,1.0668916554195886,100.0,1.0,0.0,1.0,1.0,6.894798851082955,33248.357151015174,31.987219605388844,2.277184876122825,12.76813053601093,0.1588361746634217,27.6
27,NE,37.6222866179344,0.2201105209224806,5.822680757469867,0.0256835345973333,73.36976815444898,0.4360914850857396,18.28930219672977,0.0770772831250758,34.395404936814884,0.1995995302169828,190.0773105328439,0.7166822233063784,177.71296546976689,0.753651106332125,79.952,1.0,0.0,1.0,1.0,15.16969330933335,90910.68657122368,22.570516158676675,2.399804990592856,39.2539991101429,0.1315875444552852,32.800000000000004
42,TN,52.3838529386934,0.1612086952763377,5.63702543156061,0.0210545984465371,154.05034242983194,0.5472808034685143,17.237213602806676,0.0430039685558266,35.35802830123231,0.1297213801535931,264.8057237226545,0.7413420594415187,237.31121603861905,0.6787593295633544,92.77,1.0,0.0,0.0,1.0,16.570237124908704,136044.9879817434,25.949475333200727,2.9291476279122244,33.45450097825271,0.0861612241894207,32.800000000000004
6,CT,177.04836735617718,0.2305184583782831,5.840124861890186,0.0080852264766139,240.74191083065963,0.3445662379301451,59.99980076419367,0.0796985569866554,149.4661282363244,0.1928088437943045,532.3789381206559,0.706497993910316,682.6945544634689,0.937020092110248,91.387,1.0,0.0,1.0,1.0,11.493767520051955,59062.64722378557,20.06815774421117,1.5833509306022373,125.88238353088325,0.1610543774891965,26.9
44,UT,73.7457336835148,0.1234968154862797,15.3769552683828,0.0246366668365316,138.1389706807931,0.2703154646990175,32.740761312726924,0.0542034094506373,48.34379371650479,0.0973615547745217,494.1998459876429,0.7630613221778022,323.71780768701115,0.5344718406998538,70.22899999999998,1.0,0.0,0.0,1.0,10.556897348171344,122570.0809461198,16.722381912397033,2.125018159210586,55.07647932878746,0.0841018925659464,25.3
