,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2407,SD,Meade,26772,8631.691866,2362.244471,101.0316875,198.1791013,2317.995764,760.1627743,7753.791793,229.6060953,400.1859601,78.41484923,165.0157041,394.9896578,11.4,4.3,55515,9.9,3.949816048,0,13.1003679,0.949816048,3.949816048,8,17.18788323
2408,SD,Mellette,2024,2035.758276,1152.481102,91.91033418,215.9897507,658.6305699,275.7551057,804.8224433,1.99999997,29.99999965,5,1107.108759,116.8270715,11.4,4.3,34241,35.6,0.949816048,0,4.050183952,0,1,1,2
2409,SD,Miner,2208,910.8661395,237.251129,33.26247292,38.33956641,228.3371816,168.520408,895.8661399,2.000000089,13.99999983,3.000000102,1.000000027,8.99999994,11.4,4.3,47970,10.8,2.050183952,0,1,0,1,1.949816048,1.350061317
2410,SD,Minnehaha,183485,31296.91349,7665.209276,635.1159591,1035.464785,8231.577398,3009.469384,27779.38182,1006.143388,1257.158944,504.0709764,797.2708991,1187.74159,11.4,4.3,55605,12.2,31.50183952,5.100367905,83.74908024,21.30110371,28.45165557,151.2044149,158.4384964
2411,SD,Moody,6451,4976.282228,1992.40231,115.5956331,233.6798351,1306.752425,797.9393538,3804.637655,30.00000085,109.0000013,62.99999931,886.0582069,192.5863573,11.4,4.3,54729,10.7,1,0,5,0,1,1.949816048,2.945634052
2412,SD,Pennington,14360,28974.57392,8365.533637,652.7784195,1073.134563,7456.724569,4030.11708,25162.73244,279.1703686,1040.776933,254.9096,1994.242511,1262.925971,11.4,4.3,52217,12.2,15.84944814,3.050183952,59.1003679,9.150551857,17.15055186,94.55202348,75.62729941
2413,SD,Perkins,108068,1470.762779,523.493653,14.14985039,72.06384455,346.1447376,288.907233,1426.762779,0,11.00000013,1,15.00000002,28.00000001,11.4,4.3,44132,13.1,2.050183952,0,6.100367905,0,3.050183952,-0.050183952,4
2414,SD,Potter,2975,2329.000003,758.0460971,38.22690559,44.58778634,455.9999997,627.0000037,2272.000002,3.000000075,17.00000016,8.000000034,19.99999998,25.0000001,11.4,4.3,54655,10,1.949816048,0,2.949816048,0,2,1,4.700122635
2415,SD,Roberts,2292,2750.012612,1035.159492,119.8254,132.3087923,725.1992002,553.6511987,2085.054077,7.000000197,25.86617152,4.711596497,564.8787163,88.36822266,11.4,4.3,42744,20,2.949816048,0,6,2.050183952,2.79926419,3.79926419,11.71654403
2416,SD,Sanborn,10204,2328.430048,696.5178855,15.73684199,77.3178296,508.6802441,473.2496358,2280.43005,0,27.99999973,3.999999968,5.999999944,37.99999981,11.4,4.3,49638,11.9,1,0,1.949816048,0,15.26813786,2,1
