,CTYNAME,POPESTIMATE2017
278,Huerfano County,6662
279,Jackson County,1385
280,Jefferson County,574613
281,Kiowa County,1376
282,Kit Carson County,7158
283,Lake County,7778
284,La Plata County,55589
285,Larimer County,343976
286,Las Animas County,14238
287,Lincoln County,5546
288,Logan County,21896
289,Mesa County,151616
290,Mineral County,766
291,Moffat County,13131
292,Montezuma County,26140
293,Montrose County,41784
294,Morgan County,28192
295,Otero County,18326
296,Ouray County,4794
297,Park County,17905
298,Phillips County,4292
299,Pitkin County,17890
300,Prowers County,12070
301,Pueblo County,166475
302,Rio Blanco County,6420
303,Rio Grande County,11301
304,Routt County,25220
305,Saguache County,6626
306,San Juan County,715
307,San Miguel County,7967
308,Sedgwick County,2344
309,Summit County,30585
310,Teller County,24646
311,Washington County,4938
312,Weld County,304633
313,Yuma County,10075
315,Fairfield County,949921
316,Hartford County,895388
317,Litchfield County,182177
318,Middlesex County,163410
319,New Haven County,860435
320,New London County,269033
321,Tolland County,151461
322,Windham County,116359
324,Kent County,176824
325,New Castle County,559793
326,Sussex County,225322
328,District of Columbia,693972
330,Alachua County,266944
331,Baker County,28283
332,Bay County,183563
333,Bradford County,27038
334,Brevard County,589162
335,Broward County,1935878
336,Calhoun County,14483
337,Charlotte County,182033
338,Citrus County,145647
339,Clay County,212230
340,Collier County,372880
341,Columbia County,69612
342,DeSoto County,36862
343,Dixie County,16673
344,Duval County,937934
345,Escambia County,313512
346,Flagler County,110510
347,Franklin County,11727
348,Gadsden County,46071
349,Gilchrist County,17743
350,Glades County,13754
351,Gulf County,16160
352,Hamilton County,14184
353,Hardee County,27411
354,Hendry County,40347
355,Hernando County,186553
356,Highlands County,102883
357,Hillsborough County,1408566
358,Holmes County,19558
359,Indian River County,154383
360,Jackson County,48330
361,Jefferson County,14144
362,Lafayette County,8451
363,Lake County,346017
364,Lee County,739224
365,Leon County,290292
366,Levy County,40355
367,Liberty County,8242
368,Madison County,18449
369,Manatee County,385571
370,Marion County,354353
371,Martin County,159923
372,Miami-Dade County,2751796
373,Monroe County,77013
374,Nassau County,82721
375,Okaloosa County,202970
376,Okeechobee County,41605
377,Orange County,1348975
378,Osceola County,352180
379,Palm Beach County,1471150
380,Pasco County,525643
381,Pinellas County,970637
382,Polk County,686483
383,Putnam County,73464
384,St. Johns County,243812
385,St. Lucie County,313506
386,Santa Rosa County,174272
387,Sarasota County,419119
388,Seminole County,462659
389,Sumter County,125165
390,Suwannee County,44190
391,Taylor County,21833
392,Union County,15517
393,Volusia County,538692
394,Wakulla County,32120
395,Walton County,68376
396,Washington County,24567
398,Appling County,18521
399,Atkinson County,8342
400,Bacon County,11319
401,Baker County,3200
402,Baldwin County,44906
403,Banks County,18634
404,Barrow County,79061
405,Bartow County,105054
406,Ben Hill County,16996
407,Berrien County,19186
408,Bibb County,152862
409,Bleckley County,12830
410,Brantley County,18731
